video,truth,found,correct,false,missed
simulation_chantier_2.mp4,[636],[649],[636],[],[]
simulation_chantier.mp4,[441],[450],[441],[],[]
crowd_mon_cam_oh_straat (7)_simulating_fall.mp4,[111],[],[],[],[111]
crowd_mon_cam_oh_straat (1)_multi_people_walking.mp4,[],[264],[],[264],[]
crowd_mon_cam_oh_straat (4)_tripping.mp4,[],[],[],[],[]
crowd_mon_cam_oh_straat (6)_fooling_algo_spreading_arms.mp4,[],[],[],[],[]
person_laying_but_ok_1.mp4,[],[],[],[],[]
person_laying_but_ok_3.mp4,[],[153],[],[153],[]
